Time	 FAIRTEN1	 FAIRTEN2	 FAIRTEN3	 CON2PX	 CON2PY	 CON2PZ	 
212.1	 222338	 222770	 222770	 -267	 0	 0	 
212.2	 222737	 222741	 222741	 -267	 0	 0	 
212.3	 223002	 222713	 222713	 -267	 0	 0	 
212.4	 223036	 222687	 222687	 -267	 0	 0	 
212.5	 222836	 222662	 222662	 -267	 0	 0	 
212.6	 222512	 222644	 222644	 -267	 0	 0	 
212.7	 222206	 222630	 222630	 -267	 0	 0	 
212.8	 222051	 222619	 222619	 -267	 0	 0	 
212.9	 222111	 222615	 222615	 -267	 0	 0	 
213	 222335	 222606	 222606	 -267	 0	 0	 
213.1	 222622	 222598	 222598	 -267	 0	 0	 
213.2	 222840	 222587	 222587	 -267	 0	 0	 
213.3	 222907	 222571	 222571	 -267	 0	 0	 
213.4	 222823	 222554	 222554	 -267	 0	 0	 
213.5	 222665	 222534	 222534	 -267	 0	 0	 
213.6	 222550	 222508	 222508	 -267	 0	 0	 
213.7	 222583	 222477	 222477	 -267	 0	 0	 
213.8	 222793	 222433	 222433	 -267	 0	 0	 
213.9	 223139	 222381	 222381	 -267	 0	 0	 
214	 223508	 222314	 222314	 -267	 0	 0	 
214.1	 223791	 222242	 222242	 -267	 0	 0	 
214.2	 223906	 222167	 222167	 -267	 0	 0	 
214.3	 223854	 222096	 222096	 -267	 0	 0	 
214.4	 223713	 222040	 222040	 -267	 0	 0	 
214.5	 223576	 221994	 221994	 -267	 0	 0	 
214.6	 223547	 221967	 221967	 -267	 0	 0	 
214.7	 223651	 221951	 221951	 -267	 0	 0	 
214.8	 223850	 221945	 221945	 -267	 0	 0	 
214.9	 224056	 221949	 221949	 -267	 0	 0	 
215	 224161	 221960	 221960	 -267	 0	 0	 
215.1	 224102	 221982	 221982	 -267	 0	 0	 
215.2	 223876	 222016	 222016	 -267	 0	 0	 
215.3	 223544	 222062	 222062	 -267	 0	 0	 
215.4	 223206	 222121	 222121	 -267	 0	 0	 
215.5	 222946	 222188	 222188	 -267	 0	 0	 
215.6	 222802	 222260	 222260	 -267	 0	 0	 
215.7	 222750	 222334	 222334	 -267	 0	 0	 
215.8	 222714	 222404	 222404	 -267	 0	 0	 
215.9	 222613	 222472	 222472	 -267	 0	 0	 
216	 222395	 222539	 222539	 -267	 0	 0	 
