      w1[rad/s]       w2[rad/s] beta1[deg] beta2[deg] DOF MOD(QTF)/rho/g PHASE(QTF)[deg] Re(QTF)/rho/g Im(QTF)/rho/g
       1.150        0.550        0.000        0.000  1  0.2103908E+01  0.5204986E+02  0.1293851E+01  0.1659029E+01
       1.150        0.600        0.000        0.000  1  0.2823738E+01  0.5697247E+02  0.1539056E+01  0.2367447E+01
       1.150        0.650        0.000        0.000  1  0.3424639E+01  0.5907887E+02  0.1759777E+01  0.2937914E+01
       1.150        0.700        0.000        0.000  1  0.3878405E+01  0.6073061E+02  0.1896216E+01  0.3383251E+01
       1.150        0.750        0.000        0.000  1  0.4185330E+01  0.6310281E+02  0.1893406E+01  0.3732559E+01
       1.150        0.800        0.000        0.000  1  0.4367687E+01  0.6724133E+02  0.1689641E+01  0.4027630E+01
       1.150        0.850        0.000        0.000  1  0.4504746E+01  0.7459201E+02  0.1196868E+01  0.4342838E+01
       1.150        0.900        0.000        0.000  1  0.4831973E+01  0.8714655E+02  0.2405423E+00  0.4825982E+01
       1.150        0.950        0.000        0.000  1  0.6200541E+01  0.1073231E+03 -0.1846267E+01  0.5919291E+01
       1.150        1.000        0.000        0.000  1  0.1666811E+02  0.1362621E+03 -0.1204288E+02  0.1152366E+02
       1.150        1.050        0.000        0.000  1  0.1446746E+02 -0.2358764E+02  0.1325869E+02 -0.5789174E+01
       1.150        1.100        0.000        0.000  1  0.5644824E+01 -0.5812556E+01  0.5615801E+01 -0.5716757E+00
       1.150        1.150        0.000        0.000  1  0.3761482E+01  0.0000000E+00  0.3761482E+01  0.0000000E+00
       1.200        0.250        0.000        0.000  1  0.5405791E+01 -0.6376740E+02  0.2389447E+01 -0.4849032E+01
       1.200        0.300        0.000        0.000  1  0.4183187E+01 -0.5214259E+02  0.2567215E+01 -0.3302796E+01
       1.200        0.350        0.000        0.000  1  0.3383597E+01 -0.3813801E+02  0.2661285E+01 -0.2089567E+01
       1.200        0.400        0.000        0.000  1  0.2904478E+01 -0.2157369E+02  0.2701006E+01 -0.1067969E+01
       1.200        0.450        0.000        0.000  1  0.2720725E+01 -0.3300780E+01  0.2716212E+01 -0.1566529E+00
       1.200        0.500        0.000        0.000  1  0.2826746E+01  0.1418698E+02  0.2740533E+01  0.6927990E+00
       1.200        0.550        0.000        0.000  1  0.3173537E+01  0.2804766E+02  0.2800826E+01  0.1492215E+01
       1.200        0.600        0.000        0.000  1  0.3651183E+01  0.3750759E+02  0.2896384E+01  0.2223083E+01
       1.200        0.650        0.000        0.000  1  0.4138566E+01  0.4377086E+02  0.2988508E+01  0.2862961E+01
       1.200        0.700        0.000        0.000  1  0.4549611E+01  0.4852142E+02  0.3013389E+01  0.3408583E+01
       1.200        0.750        0.000        0.000  1  0.4842677E+01  0.5326183E+02  0.2896692E+01  0.3880811E+01
       1.200        0.800        0.000        0.000  1  0.5029963E+01  0.5945349E+02  0.2556417E+01  0.4331889E+01
       1.200        0.850        0.000        0.000  1  0.5219357E+01  0.6865647E+02  0.1899632E+01  0.4861387E+01
       1.200        0.900        0.000        0.000  1  0.5704623E+01  0.8231529E+02  0.7628306E+00  0.5653389E+01
       1.200        0.950        0.000        0.000  1  0.7422083E+01  0.1017300E+03 -0.1508908E+01  0.7267084E+01
       1.200        1.000        0.000        0.000  1  0.1907076E+02  0.1287299E+03 -0.1193162E+02  0.1487718E+02
       1.200        1.050        0.000        0.000  1  0.1481526E+02 -0.2944186E+02  0.1290195E+02 -0.7282297E+01
       1.200        1.100        0.000        0.000  1  0.5204781E+01 -0.5708786E+01  0.5178967E+01 -0.5177318E+00
       1.200        1.150        0.000        0.000  1  0.3075500E+01  0.6719981E+01  0.3054371E+01  0.3598860E+00
       1.200        1.200        0.000        0.000  1  0.1974917E+01  0.0000000E+00  0.1974917E+01  0.0000000E+00
       1.250        0.250        0.000        0.000  1  0.9244171E+01 -0.2169657E+02  0.8589265E+01 -0.3417488E+01
       1.250        0.300        0.000        0.000  1  0.8679729E+01 -0.1339295E+02  0.8443679E+01 -0.2010470E+01
       1.250        0.350        0.000        0.000  1  0.8322063E+01 -0.6493821E+01  0.8268670E+01 -0.9411927E+00
       1.250        0.400        0.000        0.000  1  0.8075309E+01 -0.3997512E+00  0.8075112E+01 -0.5634077E-01
       1.250        0.450        0.000        0.000  1  0.7918715E+01  0.5351614E+01  0.7884199E+01  0.7385591E+00
       1.250        0.500        0.000        0.000  1  0.7873001E+01  0.1103732E+02  0.7727372E+01  0.1507273E+01
       1.250        0.550        0.000        0.000  1  0.7967220E+01  0.1658397E+02  0.7635803E+01  0.2274006E+01
       1.250        0.600        0.000        0.000  1  0.8191961E+01  0.2164672E+02  0.7614231E+01  0.3021872E+01
       1.250        0.650        0.000        0.000  1  0.8476583E+01  0.2601750E+02  0.7617568E+01  0.3718217E+01
       1.250        0.700        0.000        0.000  1  0.8715816E+01  0.2994209E+02  0.7552519E+01  0.4350277E+01
       1.250        0.750        0.000        0.000  1  0.8817690E+01  0.3416692E+02  0.7295801E+01  0.4952066E+01
       1.250        0.800        0.000        0.000  1  0.8768375E+01  0.3993575E+02  0.6723281E+01  0.5628667E+01
       1.250        0.850        0.000        0.000  1  0.8719068E+01  0.4882802E+02  0.5739949E+01  0.6563164E+01
       1.250        0.900        0.000        0.000  1  0.9086143E+01  0.6233360E+02  0.4218903E+01  0.8047288E+01
       1.250        0.950        0.000        0.000  1  0.1106420E+02  0.8201289E+02  0.1537372E+01  0.1095687E+02
       1.250        1.000        0.000        0.000  1  0.2562590E+02  0.1116439E+03 -0.9451768E+01  0.2381913E+02
       1.250        1.050        0.000        0.000  1  0.1810387E+02 -0.3743885E+02  0.1437452E+02 -0.1100560E+02
       1.250        1.100        0.000        0.000  1  0.6489681E+01 -0.2928872E+00  0.6489596E+01 -0.3317410E-01
       1.250        1.150        0.000        0.000  1  0.4217820E+01  0.2667545E+02  0.3768892E+01  0.1893532E+01
       1.250        1.200        0.000        0.000  1  0.2755200E+01  0.4541315E+02  0.1934122E+01  0.1962219E+01
       1.250        1.250        0.000        0.000  1  0.7096180E+00  0.0000000E+00  0.7096180E+00  0.0000000E+00
       1.300        0.250        0.000        0.000  1  0.4296590E+02 -0.1474314E+03 -0.3620939E+02 -0.2312894E+02
       1.300        0.300        0.000        0.000  1  0.4074102E+02 -0.1499249E+03 -0.3525601E+02 -0.2041677E+02
       1.300        0.350        0.000        0.000  1  0.3890995E+02 -0.1521172E+03 -0.3439274E+02 -0.1819680E+02
       1.300        0.400        0.000        0.000  1  0.3738993E+02 -0.1541142E+03 -0.3363845E+02 -0.1632364E+02
       1.300        0.450        0.000        0.000  1  0.3614146E+02 -0.1559798E+03 -0.3301169E+02 -0.1471167E+02
       1.300        0.500        0.000        0.000  1  0.3513057E+02 -0.1577508E+03 -0.3251495E+02 -0.1330168E+02
       1.300        0.550        0.000        0.000  1  0.3431392E+02 -0.1594201E+03 -0.3212410E+02 -0.1206181E+02
       1.300        0.600        0.000        0.000  1  0.3363841E+02 -0.1609363E+03 -0.3179356E+02 -0.1098693E+02
       1.300        0.650        0.000        0.000  1  0.3303130E+02 -0.1622316E+03 -0.3145564E+02 -0.1008015E+02
       1.300        0.700        0.000        0.000  1  0.3236202E+02 -0.1632035E+03 -0.3098137E+02 -0.9351760E+01
       1.300        0.750        0.000        0.000  1  0.3144190E+02 -0.1635631E+03 -0.3015693E+02 -0.8896785E+01
       1.300        0.800        0.000        0.000  1  0.3016850E+02 -0.1626262E+03 -0.2879212E+02 -0.9008421E+01
