      w1[rad/s]       w2[rad/s] beta1[deg] beta2[deg] DOF MOD(QTF)/rho/g PHASE(QTF)[deg] Re(QTF)/rho/g Im(QTF)/rho/g
       1.150        0.800        0.000        0.000  1  0.3356725E+01 -0.1038074E+03 -0.8011096E+00 -0.3259728E+01
       1.150        0.850        0.000        0.000  1  0.2705557E+01 -0.1223445E+03 -0.1447498E+01 -0.2285779E+01
       1.150        0.900        0.000        0.000  1  0.2441876E+01 -0.1639027E+03 -0.2346136E+01 -0.6770590E+00
       1.150        0.950        0.000        0.000  1  0.4853613E+01  0.1482405E+03 -0.4126859E+01  0.2554720E+01
       1.150        1.000        0.000        0.000  1  0.2187300E+02  0.1258554E+03 -0.1281191E+02  0.1772802E+02
       1.150        1.050        0.000        0.000  1  0.2417068E+02 -0.5428347E+02  0.1411025E+02 -0.1962454E+02
       1.150        1.100        0.000        0.000  1  0.1070940E+02 -0.5245700E+02  0.6525847E+01 -0.8491447E+01
       1.150        1.150        0.000        0.000  1  0.8969920E+01 -0.4252549E+02  0.6610622E+01 -0.6062933E+01
       1.200        0.250        0.000        0.000  1  0.6956632E+01  0.3662181E+02  0.5583327E+01  0.4149843E+01
       1.200        0.300        0.000        0.000  1  0.5854308E+01  0.2637157E+02  0.5245063E+01  0.2600429E+01
       1.200        0.350        0.000        0.000  1  0.5075382E+01  0.1517401E+02  0.4898431E+01  0.1328488E+01
       1.200        0.400        0.000        0.000  1  0.4535994E+01  0.2840519E+01  0.4530420E+01  0.2247861E+00
       1.200        0.450        0.000        0.000  1  0.4218185E+01 -0.1008843E+02  0.4152966E+01 -0.7388907E+00
       1.200        0.500        0.000        0.000  1  0.4078352E+01 -0.2229002E+02  0.3773601E+01 -0.1546898E+01
       1.200        0.550        0.000        0.000  1  0.4004571E+01 -0.3260136E+02  0.3373609E+01 -0.2157626E+01
       1.200        0.600        0.000        0.000  1  0.3855954E+01 -0.4111793E+02  0.2904912E+01 -0.2535718E+01
       1.200        0.650        0.000        0.000  1  0.3542206E+01 -0.4910437E+02  0.2319022E+01 -0.2677565E+01
       1.200        0.700        0.000        0.000  1  0.3052562E+01 -0.5826714E+02  0.1605524E+01 -0.2596234E+01
       1.200        0.750        0.000        0.000  1  0.2407398E+01 -0.7071111E+02  0.7952394E+00 -0.2272259E+01
       1.200        0.800        0.000        0.000  1  0.1610471E+01 -0.9318337E+02 -0.8943242E-01 -0.1607986E+01
       1.200        0.850        0.000        0.000  1  0.1191567E+01 -0.1603836E+03 -0.1122410E+01 -0.4000347E+00
       1.200        0.900        0.000        0.000  1  0.3145909E+01  0.1458142E+03 -0.2602358E+01  0.1767619E+01
       1.200        0.950        0.000        0.000  1  0.8506728E+01  0.1315158E+03 -0.5638484E+01  0.6369609E+01
       1.200        1.000        0.000        0.000  1  0.3513355E+02  0.1255391E+03 -0.2042169E+02  0.2858883E+02
       1.200        1.050        0.000        0.000  1  0.3512886E+02 -0.4747633E+02  0.2374341E+02 -0.2588991E+02
       1.200        1.100        0.000        0.000  1  0.1424587E+02 -0.4212375E+02  0.1056613E+02 -0.9555193E+01
       1.200        1.150        0.000        0.000  1  0.1095805E+02 -0.3069778E+02  0.9422522E+01 -0.5594191E+01
       1.200        1.200        0.000        0.000  1  0.1218506E+02 -0.1891214E+02  0.1152727E+02 -0.3949396E+01
       1.250        0.250        0.000        0.000  1  0.1445701E+02  0.2965444E+02  0.1256351E+02  0.7152864E+01
       1.250        0.300        0.000        0.000  1  0.1366885E+02  0.2397369E+02  0.1248966E+02  0.5553885E+01
       1.250        0.350        0.000        0.000  1  0.1298874E+02  0.1908326E+02  0.1227494E+02  0.4246562E+01
       1.250        0.400        0.000        0.000  1  0.1230850E+02  0.1463427E+02  0.1190919E+02  0.3109719E+01
       1.250        0.450        0.000        0.000  1  0.1159257E+02  0.1049882E+02  0.1139849E+02  0.2112342E+01
       1.250        0.500        0.000        0.000  1  0.1081430E+02  0.6754242E+01  0.1073925E+02  0.1271880E+01
       1.250        0.550        0.000        0.000  1  0.9920158E+01  0.3640528E+01  0.9900140E+01  0.6298949E+00
       1.250        0.600        0.000        0.000  1  0.8830343E+01  0.1411294E+01  0.8827664E+01  0.2174846E+00
       1.250        0.650        0.000        0.000  1  0.7485050E+01  0.2707662E+00  0.7484966E+01  0.3537244E-01
       1.250        0.700        0.000        0.000  1  0.5896191E+01  0.8125844E+00  0.5895598E+01  0.8361860E-01
       1.250        0.750        0.000        0.000  1  0.4163794E+01  0.6078025E+01  0.4140387E+01  0.4408737E+00
       1.250        0.800        0.000        0.000  1  0.2637949E+01  0.3093657E+02  0.2262667E+01  0.1356140E+01
       1.250        0.850        0.000        0.000  1  0.3310156E+01  0.8883537E+02  0.6727931E-01  0.3309472E+01
       1.250        0.900        0.000        0.000  1  0.7876416E+01  0.1138789E+03 -0.3188412E+01  0.7202219E+01
       1.250        0.950        0.000        0.000  1  0.1894854E+02  0.1223146E+03 -0.1012926E+02  0.1601390E+02
       1.250        1.000        0.000        0.000  1  0.7471251E+02  0.1263787E+03 -0.4431346E+02  0.6015211E+02
       1.250        1.050        0.000        0.000  1  0.7331284E+02 -0.4104533E+02  0.5529183E+02 -0.4814132E+02
       1.250        1.100        0.000        0.000  1  0.2926454E+02 -0.3312213E+02  0.2450928E+02 -0.1599089E+02
       1.250        1.150        0.000        0.000  1  0.2143400E+02 -0.2190553E+02  0.1988647E+02 -0.7996539E+01
       1.250        1.200        0.000        0.000  1  0.2110906E+02 -0.1145883E+02  0.2068830E+02 -0.4193607E+01
       1.250        1.250        0.000        0.000  1  0.2924332E+02 -0.4924723E+01  0.2913537E+02 -0.2510447E+01
       1.300        0.250        0.000        0.000  1  0.5350140E+02 -0.1571008E+03 -0.4928502E+02 -0.2081796E+02
       1.300        0.300        0.000        0.000  1  0.5456930E+02 -0.1555015E+03 -0.4965654E+02 -0.2262824E+02
       1.300        0.350        0.000        0.000  1  0.5494605E+02 -0.1542071E+03 -0.4947192E+02 -0.2390811E+02
       1.300        0.400        0.000        0.000  1  0.5456046E+02 -0.1530708E+03 -0.4864431E+02 -0.2470983E+02
       1.300        0.450        0.000        0.000  1  0.5333475E+02 -0.1520027E+03 -0.4709297E+02 -0.2503693E+02
       1.300        0.500        0.000        0.000  1  0.5121113E+02 -0.1509056E+03 -0.4474931E+02 -0.2490140E+02
       1.300        0.550        0.000        0.000  1  0.4816663E+02 -0.1496636E+03 -0.4157141E+02 -0.2432780E+02
